id,gender,age,education,is_capital,income,ideology,DemPolGrievence,PolicyPolGrievence,EUPolGrievence,EconGrievenceRetro,EconGrievenceProspInd,EconGrievenceProspAgg,NatPride,NativeRights,NativeJobs,LawOrder,Chauvinism,ChristianSchool,GayNeighbor,GayPartner,ForNeighbor,ForPartner,Ukraine,DemonstrateNational,DemonstrateTrad
99,2,28,2,0,4,3.34,2,2,1,2,3,3,3,4,4,2,3,1,1,1,2,2,3,0,0
100,1,63,3,0,4,2,2,3,1,3,3,4,4,4,4,4,4,3,1,1,2,2,2,0,0
101,2,32,3,0,3,4,2,2,1,3,3,3,3,3,3,3,3,2,2,2,2,3,2,0,0
102,2,28,3,0,5,4,3,3,2,3,2,3,3,3,4,1,1,2,1,1,2,3,2,0,0
103,1,34,1,0,5,5,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,0,0
104,1,68,2,0,3,3,4,4,3,5,5,5,3,3,2,3,3,3,2,2,3,3,3,0,0
105,1,29,1,0,1,2.99,4,4,3,4,4,4,2,3,1,3,2,2,3,4,4,4,3,0,0
106,1,32,3,0,5,2,3,3,2,3,5,5,3,3,3,3,3,2,1,1,1,1,1,0,0
107,2,48,2,0,5,3,3,2,2,3,3,3,3,2,3,1,1,2,2,2,4,4,4,0,0
108,2,39,2,0,3.266,3,4,4,4,3,4,5,2,3,4,3,2,2,2,4,1,1,1,0,0
109,1,38,2,0,5,3,3,2,2,4,4,5,3,4,4,4,2,4,3,3,2,2,2,0,0
110,1,31,3,0,5,4,3,4,1,3,4,4,2,3,4,2,3,2,2,3,2,2,2,0,0
111,1,55,1,0,5,3,2,2,2,4,4,4,3,3,4,3,1,2,3,3,3,2,2,0,0
112,1,49,3,0,5,3,4,4,4,4,4,4,2,4,2,3,2,3,2,2,2,2,2,0,0
113,2,70,3,0,2,4,2,2,1,4,5,5,4,4,4,4,3,2,2,3,3,4,2,0,0
114,2,48,1,0,4,4,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,0,0
